Unnamed: 0,day,day_id,id,mood,activity,circumplex.valence,circumplex.arousal,appCat.other,appCat.finance,appCat.social,appCat.travel,appCat.game,appCat.builtin,appCat.communication,call,appCat.unknown,appCat.office,appCat.weather,sms,appCat.entertainment,screen,appCat.utilities,target,wake_up,sleep,week_day,week_mood
3360,2014-04-07,AS14.20_2014-04-07,AS14.20,6.8,0.029011707988980725,1.0,0.6,-0.5796832987125587,-0.24994440994036543,-0.2797254939190432,-0.38167579245765193,1.545646796377927,-0.8889891344813085,-0.6413646868281324,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,1.0,-0.6019044633133935,-1.1329297536264689,-0.27350470871951965,7.25,0.0,9.0,0,6.745238095238095
3365,2014-04-08,AS14.20_2014-04-08,AS14.20,7.25,0.003367003367003367,0.75,0.5,-0.5796832987125587,-0.24994440994036543,-0.6558668755615079,-0.38167579245765193,1.549074034422575,-0.8966760149003904,-1.0702787500812272,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,2.0,-0.6830451813610883,-1.067798115873185,-0.27350470871951965,7.75,10.0,10.0,1,6.8880952380952385
3369,2014-04-09,AS14.20_2014-04-09,AS14.20,7.75,0.069361289395536,1.0,0.25,-0.3742687473184691,-0.24994440994036543,0.005544623031851384,-0.38167579245765193,-0.22533758328546688,-0.7215664665233302,-0.9424029834475058,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,4.0,-0.4220492681330541,-0.8733554322371966,-0.27350470871951965,7.0,8.0,17.0,2,7.066666666666667
3373,2014-04-10,AS14.20_2014-04-10,AS14.20,7.0,0.02183641975308642,0.5,0.5,-0.5330710149859982,-0.24994440994036543,-0.4406955466965569,-0.38167579245765193,-0.22533758328546688,-0.876193284778373,-0.7487316541609541,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,1.0,-0.5530060764777746,-0.9400593563846559,-0.27350470871951965,7.5,3.0,20.0,3,7.114285714285714
3377,2014-04-11,AS14.20_2014-04-11,AS14.20,7.5,0.05509259259259256,0.75,0.5,-0.3879714116924953,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,-0.22533758328546688,-0.9074641642837783,-1.0351339248822888,2.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.6830451813610883,-1.1582118923813798,-0.27350470871951965,6.8,14.0,20.0,4,7.185714285714285
3381,2014-04-12,AS14.20_2014-04-12,AS14.20,6.8,0.04598055910316446,0.6,0.0,-0.2005189630558158,0.6157232324788602,-0.5891793105128029,-0.38167579245765193,1.1241198768339333,-0.6370686004926412,0.07633558457488067,6.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,1.0,-0.6830451813610883,-0.36790715681622144,-0.27350470871951965,6.8,12.0,23.0,5,7.157142857142857
3386,2014-04-13,AS14.20_2014-04-13,AS14.20,6.8,0.0,0.6,0.0,-0.5796832987125587,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,1.6757450195236,-0.9502808159346651,-1.0702787500812272,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.6830451813610883,-1.1925088766718426,-0.27350470871951965,6.8,7.0,23.0,6,7.128571428571427
3391,2014-04-14,AS14.20_2014-04-14,AS14.20,6.8,0.005,0.2,0.0,-0.5796832987125587,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,-0.22533758328546688,-0.962692869896277,-1.0702787500812272,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,2.0,-0.6830451813610883,-1.1935569979185503,-0.27350470871951965,6.8,4.0,4.0,0,7.128571428571427
3396,2014-04-15,AS14.20_2014-04-15,AS14.20,6.8,0.10694444444444444,0.6,0.0,-0.5139848292528205,-0.24994440994036543,-0.569191098863574,-0.38167579245765193,-0.22533758328546688,-0.8587849080751662,-0.8655735633789108,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.6577302002776886,-1.0473732263569422,-0.27350470871951965,7.2,9.0,21.0,1,7.064285714285714
3401,2014-04-16,AS14.20_2014-04-16,AS14.20,7.2,0.004629629629629634,0.6,0.4,-0.5273066060069587,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,-0.22533758328546688,-0.962692869896277,-1.0702787500812272,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,1.0,-0.6830451813610883,-1.191196688163358,-0.27350470871951965,6.4,10.0,10.0,2,6.985714285714286
